"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1070" 3 3 3
"z.1071" 6 6 6
"z.1072" 6 6 6
"z.1073" 3 3 3
"z.1074" 4 4 4
"z.1075" 4 4 4
"z.1076" 2 2 2
"z.1077" 3 3 3
"z.1078" 2 2 2
"z.1079" 3 3 3
"z.1080" 2 2 2
"z.1081" 2 2 2
"z.1082" 2 2 2
"z.1083" 4 4 4
"z.1084" 2 2 2
"z.1085" 2 2 2
"z.1086" 3 3 3
"z.1087" 4 4 4
"z.1088" 5 5 5
"z.1089" 2 2 2
"z.1090" 6 6 6
"z.1091" 6 6 6
"z.1092" 3 3 3
"z.1093" 6 6 6
"z.1094" 2 2 2
"z.1095" 2 2 2
"z.1096" 2 2 2
"z.1097" 2 2 2
"z.1098" 2 2 2
"z.1099" 2 2 2
"z.1100" 2 2 2
"z.1101" 6 6 6
"z.1102" 6 6 6
"z.1103" 2 2 2
"z.1104" 3 3 3
"z.1105" 2 2 2
"z.1106" 2 2 2
"z.1107" 2 2 2
"z.1108" 2 2 2
"z.1109" 2 2 2
"z.1110" 3 3 3
"z.1111" 2 2 2
"z.1112" 2 2 2
"z.1113" 2 2 2
"z.1114" 3 3 3
"z.1115" 2 2 2
"z.1116" 2 2 2
"z.1117" 3 3 3
"z.1118" 2 2 2
"z.1119" 2 2 2
"z.1120" 3 3 3
"z.1121" 6 6 6
"z.1122" 2 2 2
"z.1123" 3 3 3
"z.1124" 3 3 3
"z.1125" 2 2 2
"z.1126" 4 4 4
"z.1127" 2 2 2
"z.1128" 2 2 2
"z.1129" 2 2 2
"z.1130" 2 2 2
"z.1131" 2 2 2
"z.1132" 6 6 6
"z.1133" 3 3 3
"z.1134" 2 2 2
"z.1135" 2 2 2
"z.1136" 2 2 2
"z.1137" 2 2 2
"z.1138" 3 3 3
"z.1139" 2 2 2
"z.1140" 2 2 2
